t,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.186196163779049,5.186196163781539,6.878991741460855,6.878991741460855,0,0,0,0,0,0
0.029536935991927565,0.00045721603832630343,3.354377622372752e-16,0.008093125652799493,0.06172795901484067,4.512859268128833e-14,0.5445764903662578,0.9938719314022718,-8.11114720689799e-14,0.1105377038422544,-4.247145934886591e-15,-1.097716198496346e-11,14.999998387610631,-5.755134355343489e-13,0,0,0,0,0,0,6.8789955394654285,6.8789955394654285,6.8789952591077625,6.8789952591077625,0,0,0,0,0,0
0.05907387198385513,0.007354577956760433,5.342033655959034e-15,0.032996363255420276,0.4682967933313829,3.384110678942893e-13,1.1117411071814869,0.94529889375131,-2.3764718485778953e-13,0.32620545898643305,-1.2809052626168067e-14,-1.0799085839967545e-11,14.9999959033387,-5.754936866678189e-13,0,0,0,0,0,0,6.878998181103133,6.878998181103133,6.878994020516266,6.878994020516266,0,0,0,0,0,0
0.08861080797578269,0.031384953016072414,2.256823301706091e-14,0.07121227100783355,1.2029246296859668,8.570230209404177e-13,1.4218870927109148,0.8505274364364905,-3.8010291866378685e-13,0.5259306797181276,-2.1595411134555036e-14,-1.0621025447041518e-11,14.999959036042313,-5.754706744481184e-13,0,0,0,0,0,0,6.878998823418144,6.878998823418144,5.926995574444491,5.926995574501896,0,0,0,0,0,0
0.11814774396771026,0.07927555099733746,4.8398640176678204e-14,0.11324754091552156,2.0538412176726313,3.542683862239783e-13,1.379718748956658,0.7563745468221713,9.597457758633264e-13,0.6541387810853699,-1.1886852819653801e-12,2.4513071828194903e-10,6.564181327584106,-1.384090192401363e-11,0,0,0,0,0,0,6.878998799695869,6.878998799695869,6.105906160429346,6.105906160355377,0,0,0,0,0,0
0.14768467995963783,0.15319719537613388,-3.0023669826024455e-15,0.15101129546823802,2.9528963284750462,-4.202195143621925e-12,1.1634722611801533,0.7252484547905382,1.8865174187151605e-12,0.6884872394058648,-1.9785325816075506e-12,-8.204751600594048e-11,-0.2862550132973368,3.2521506054583928e-12,0,0,0,0,0,0,6.878998681444344,6.878998681444344,6.878966034973753,6.878966034973739,0,0,0,0,0,0
0.17722161595156538,0.2545164919866613,-1.928127628708704e-13,0.18187254088732444,3.907542944267377,-8.263632021583684e-12,0.9275451032875376,0.7281540422413376,1.032247339101096e-12,0.6854135180807294,-1.1172380234014955e-12,-8.208959105981121e-11,-0.28654429631105677,3.255372200997432e-12,0,0,0,0,0,0,6.8789985758871115,6.8789985758871115,6.878976396602225,6.878976396602204,0,0,0,0,0,0
0.20675855194349294,0.3840260838719468,-4.683259474894915e-13,0.2058845047143461,4.861701358811252,-1.0005122091841567e-11,0.6996953204230341,0.7310490506299417,1.7739123369456834e-13,0.6823249120272991,-2.553186181432113e-13,-8.215947868058262e-11,-0.28674082874656687,3.260021637631842e-12,0,0,0,0,0,0,6.878998485645049,6.878998485645049,6.878976436957776,6.878976436957739,0,0,0,0,0,0
0.2362954879354205,0.5417105248402058,-7.609984662272726e-13,0.22328579470881063,5.815302079102086,-9.425146598027352e-12,0.47992441092364807,0.7339329238387132,-6.785554935842524e-13,0.6792219543755383,6.077494469855242e-13,-8.230292923375162e-11,-0.28693620394613734,3.2684746335966873e-12,0,0,0,0,0,0,6.878998404294713,6.878998404294713,6.8789715623446765,6.878971562344603,0,0,0,0,0,0
0.26583242392734807,0.727552320555472,-1.0022155414399513e-12,0.2343150458588636,6.768275895539411,-6.520072255239073e-12,0.2682330379323688,0.7368057894491548,-1.5368103689972408e-12,0.6761044509799603,1.4732107089214187e-12,-8.261127487352861e-11,-0.28717405263450946,3.285492165082869e-12,0,0,0,0,0,0,6.878998323299466,6.878998323299466,6.878959844638489,6.878959844638351,0,0,0,0,0,0
0.29536935991927565,0.9415319276569483,-1.1231943257701567e-12,0.2392109189194522,7.720553248957907,-1.2816612154569913e-12,0.06462252651250311,0.7396682893899709,-2.399682322096812e-12,0.672971635117344,2.343399321178017e-12,-8.320161358192802e-11,-0.2875150151590205,3.317187973927629e-12,0,0,0,0,0,0,6.8789982334515685,6.878998233451569,6.8789326310540755,6.878932631054177,0,0,0,0,0,0
0.32490629591120324,1.1836277335831809,-1.0548518691356279e-12,0.23821214520472875,8.672063530698917,6.299302254944501e-12,-0.1309032098424547,0.7425220307364009,-3.2631539635072682e-12,0.6698216433303582,3.2142184820575187e-12,-8.273597099098275e-11,-0.2880963233032737,3.2937797903967562e-12,0,0,0,0,0,0,6.878998125663348,6.878998125663349,6.878857229865314,6.87885722987239,0,0,0,0,0,0
0.3544432319031308,1.4538159934604746,-7.291685380050347e-13,0.23155765894241248,9.622732792964918,1.6068300135080045e-11,-0.3183330323533571,0.7453713650684286,-3.960234030138763e-12,0.6666494792159111,3.918584581492339e-12,-5.137540117978337e-11,-0.28934481232233034,1.6587025439405915e-12,0,0,0,0,0,0,6.878997991376378,6.878997991376378,6.8785558213483435,6.87855582149614,0,0,0,0,0,0
0.3839801678950584,1.752070557068339,-1.1300729357867546e-13,0.21948699339072963,10.572471359325272,2.4354338820726777e-11,-0.497631869212511,0.7482324590905274,-1.054452951138148e-12,0.6634366489452982,1.0517427267773228e-12,6.033434060174899e-10,-0.29326291601211146,-3.249478192685184e-11,0,0,0,0,0,0,6.878997823172639,6.878997823172639,6.8760110462541775,6.876011046047742,0,0,0,0,0,0
0.413517103886986,2.078360361399578,5.962291516817415e-13,0.20224203085062173,11.521029392138527,2.2983521984115766e-11,-0.6686249148225952,0.7512278134375453,4.653205555134441e-13,0.6600430079402614,-4.820754449889807e-13,-3.113147113231113e-10,-0.3197289885256242,1.5208991277536865e-11,0,0,0,0,0,0,6.878997615838898,6.878997615838898,6.8604625967942106,6.860462597408095,0,0,0,0,0,0
0.44305403987891356,2.4326344665896,1.205323468783787e-12,0.18007951023862404,12.467264533513855,1.3338282311860694e-11,-0.8301681537565734,0.7551317158092868,1.1562064276857105e-11,0.6555731017814429,-1.1313104495535334e-11,2.4079783085891412e-09,-0.4839692871455994,-1.2664918214939846e-10,0,0,0,0,0,0,6.87899736459439,6.87899736459439,6.86641004763593,6.866410046217273,0,0,0,0,0,0
0.47259097587084115,2.81483730481541,1.0270851380511178e-12,0.15333290968464872,13.412012717189782,-2.1940986409972132e-11,-0.9783830107109134,0.760333310704938,3.544644773373018e-12,0.6495331066491293,-3.9721239553217764e-12,-3.876991292094702e-09,-0.5955065260244212,2.011785325155652e-10,0,0,0,0,0,0,6.8789970572479175,6.8789970572479175,6.8630165885638865,6.863016589851125,0,0,0,0,0,0
0.5021279118627687,3.224904468796822,5.70342000986873e-13,0.12244649446867518,14.353865756701326,-4.166412609747678e-12,-1.1099035052231438,0.7666880334508477,-7.402661712625196e-12,0.6420198278585312,6.514093242801979e-12,1.8267709032337354e-09,-0.7371107445137446,-9.628065145192759e-11,0,0,0,0,0,0,6.878996672675848,6.878996672675848,6.852685809754242,6.852685809292665,0,0,0,0,0,0
